url,type,purpose,area,bedroom,bath,added,price,location,location_city,source
https://www.olx.com.pk/item/plot-g-742-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788753,Residential Plot,For Sale,1 Kanal,,,1 hour ago,Rs 3.35 Crore,"DHA Phase 9 Prism - Block G, Lahore",Lahore,OLX
https://www.olx.com.pk/item/facing-park-plot-c-320-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788747,Residential Plot,For Sale,1 Kanal,,,1 hour ago,Rs 3.40 Crore,"DHA Phase 9 Prism - Block C, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-c-580-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788744,Residential Plot,For Sale,1 Kanal,,,1 hour ago,Rs 3.55 Crore,"DHA Phase 9 Prism - Block C, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-c-1123-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788741,Residential Plot,For Sale,1 Kanal,,,1 hour ago,Rs 1.95 Crore,"DHA Phase 9 Prism - Block C, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-l-401-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788737,Residential Plot,For Sale,1 Kanal,,,1 hour ago,Rs 2.35 Crore,"DHA Phase 9 Prism - Block L, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-l-1225-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788729,Residential Plot,For Sale,10 Marla,,,1 hour ago,Rs 1.70 Crore,"DHA Phase 9 Prism - Block L, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-l-1342-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788723,Residential Plot,For Sale,10 Marla,,,1 hour ago,Rs 1.65 Crore,"DHA Phase 9 Prism - Block L, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-r-2350-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788718,Residential Plot,For Sale,5 Marla,,,1 hour ago,Rs 1.20 Crore,"DHA Phase 9 Prism - Block R, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-r-1970-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788715,Residential Plot,For Sale,5 Marla,,,1 hour ago,Rs 1.08 Crore,"DHA Phase 9 Prism - Block R, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-r-1585-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788713,Residential Plot,For Sale,5 Marla,,,1 hour ago,Rs 1.14 Crore,"DHA Phase 9 Prism - Block R, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-k-1407-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788709,Residential Plot,For Sale,5 Marla,,,1 hour ago,Rs 1.10 Crore,"DHA Phase 9 Prism - Block K, Lahore",Lahore,OLX
https://www.olx.com.pk/item/5-marla-park-facing-plot-for-sale-m7-c1-lake-city-lahore-iid-1118459748,Plot,For Sale,5 Marla,,,2 days ago,Rs 1.75 Crore,"Lake City - Sector M7 - Block C1, Lahore",Lahore,OLX
https://www.olx.com.pk/item/hot-location-10-marla-corner-residential-plot-for-sale-iid-1118408535,Residential Plot,For Sale,10 Marla,,,9 hours ago,Rs 1.20 Crore,"Bahria Town - Sikandar Block, Lahore",Lahore,OLX
https://www.olx.com.pk/item/pkr-12cr-10-marla-residential-plot-for-sale-in-etihad-town-phase-3-available-on-easy-installment-plan-iid-1117623556,Residential Plot,For Sale,10 Marla,,,4 weeks ago,Rs 1.02 Crore,"Soul City, Lahore",Lahore,OLX
https://www.olx.com.pk/item/48-marla-corner-plot-for-sale-prime-location-near-pine-avenue-iid-1118754255,Plot,For Sale,48 Marla,,,11 hours ago,Rs 6.50 Crore,"Khayaban-e-Amin - Block L, Lahore",Lahore,OLX
https://www.olx.com.pk/item/1-bed-luxury-apartment-for-sale-in-gulberg-iii-lahore-iid-1118424233,Apartment,For Sale,640 SQFT,1,1,1 week ago,Rs 3.03 Crore,"Gulberg 3, Lahore",Lahore,OLX
https://www.olx.com.pk/item/10-marla-house-divine-garden-soller-install-iid-1117968774,House,For Sale,10 Marla,3,4,3 weeks ago,Rs 3.40 Crore,"Divine Gardens, Lahore",Lahore,OLX
https://www.olx.com.pk/item/beautifully-constructed-commercial-plot-is-available-for-sale-in-etihad-town-phase-3-iid-1117732077,Commercial Plot,For Sale,5 Marla,,,1 day ago,Rs 2.90 Crore,"Soul City, Lahore",Lahore,OLX
https://www.olx.com.pk/item/10-marla-house-with-solid-construction-nearest-to-park-masjid-available-for-sale-in-bahria-town-lhr-iid-1118461333,House,For Sale,10 Marla,5,5,11 hours ago,Rs 3.20 Crore,"Bahria Town - Sector B, Lahore",Lahore,OLX
https://www.olx.com.pk/item/your-search-ends-right-here-with-the-beautiful-house-in-marghzar-officers-colony-at-affordable-price-of-pkr-rs-11000000-iid-1117033052,House,For Sale,3 Marla,3,3,2 weeks ago,Rs 1.10 Crore,"Marghzar Officers Colony, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-j-1771-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788707,Residential Plot,For Sale,5 Marla,,,1 hour ago,Rs 85 Lacs,"DHA Phase 9 Prism - Block J, Lahore",Lahore,OLX
https://www.olx.com.pk/item/possession-pair-10-marla-plot-e-600601-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788693,Residential Plot,For Sale,10 Marla,,,1 hour ago,Rs 2 Crore,"DHA 9 Town - Block E, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-d-2176-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788687,Residential Plot,For Sale,5 Marla,,,1 hour ago,Rs 1.19 Crore,"DHA 9 Town - Block D, Lahore",Lahore,OLX
https://www.olx.com.pk/item/possession-plot-e-601-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788672,Residential Plot,For Sale,5 Marla,,,1 hour ago,Rs 1 Crore,"DHA 9 Town - Block E, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-d-448-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788640,Residential Plot,For Sale,1 Kanal,,,1 hour ago,Rs 2.99 Crore,"DHA Phase 9 Prism - Block D, Lahore",Lahore,OLX
https://www.olx.com.pk/item/plot-y-2670-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788636,Residential Plot,For Sale,1 Kanal,,,1 hour ago,Rs 4.40 Crore,"DHA Phase 7 - Block Y, Lahore",Lahore,OLX
https://www.olx.com.pk/item/pair-plot-r-32083209-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788633,Residential Plot,For Sale,10 Marla,,,1 hour ago,Rs 2.29 Crore,"DHA Phase 9 Prism - Block R, Lahore",Lahore,OLX
https://www.olx.com.pk/item/ivy-green-plot-z5-557-residential-plot-located-in-the-best-block-of-dha-lahore-iid-1118788549,Residential Plot,For Sale,10 Marla,,,1 hour ago,Rs 1.70 Crore,"DHA Phase 8 - Block Z5, Lahore",Lahore,OLX
https://www.olx.com.pk/item/rana-estate-and-builders-offers-5-marla-residential-file-is-available-for-sale-in-chahar-bagh-phase-1-high-return-investment-iid-1118788523,File,For Sale,5 Marla,,,1 hour ago,Rs 30 Lacs,"Chahar Bagh, Lahore",Lahore,OLX
https://www.olx.com.pk/item/rana-estate-and-builders-offers-5-marla-commercial-file-is-available-for-sale-in-chahar-bagh-phase-1-high-return-investment-iid-1118788521,File,For Sale,5 Marla,,,1 hour ago,Rs 1.25 Crore,"Chahar Bagh, Lahore",Lahore,OLX
https://www.olx.com.pk/item/8-marla-brand-new-commercial-plaza-d-block-commercial-zone-in-valencia-town-iid-1118788519,Other,For Sale,8 Marla,,,1 hour ago,Rs 20 Crore,"Valencia - Commercial Zone D, Lahore",Lahore,OLX
https://www.olx.com.pk/item/105-marla-commercial-plaza-d-block-commercial-zone-in-valencia-town-iid-1118788517,Other,For Sale,"2,362 SQFT",,,1 hour ago,Rs 28 Crore,"Valencia - Commercial Zone D, Lahore",Lahore,OLX
https://www.olx.com.pk/item/one-call-deal-paper-in-hand-plot-r-689-build-the-life-you-have-always-envisioned-on-a-prime-fully-serviced-plot-in-dha-lahores-most-sought-after-and-amenity-rich-block-iid-1118788515,Plot,For Sale,1 Kanal,,,1 hour ago,Rs 6.10 Crore,"DHA Phase 7 - Block R, Lahore",Lahore,OLX
https://www.olx.com.pk/item/brand-new-house-block-t-phase-8-iid-1118788513,House,For Sale,1 Kanal,5,6,1 hour ago,Rs 11.50 Crore,"DHA Phase 8 - Block T, Lahore",Lahore,OLX
https://www.olx.com.pk/item/dha-raya-apartment-for-sale-iid-1118788511,Apartment,For Sale,970 SQFT,Studio,1,1 hour ago,Rs 3.40 Crore,"Defence Raya, Lahore",Lahore,OLX
https://www.olx.com.pk/item/hot-deal-invester-and-builder-location-plot-iid-1117968786,Plot,For Sale,1 Kanal,,,13 hours ago,Rs 6.25 Crore,"DHA Phase 6 - Block E, Lahore",Lahore,OLX
https://www.olx.com.pk/item/1-kanal-plot-sector-g-top-location-60-ft-road-direct-approach-to-main-near-35-kanal-park-and-mosque-iid-1118472838,Plot,For Sale,1 Kanal,,,1 week ago,Rs 3.85 Crore,"DHA Phase 9 Prism - Block G, Lahore",Lahore,OLX
https://www.olx.com.pk/item/1-kanal-plot-highly-desirable-residential-parcel-block-r-dha-phase-7-iid-1118620944,Plot,For Sale,1 Kanal,,,4 days ago,Rs 3.80 Crore,"DHA Phase 7 - Block R, Lahore",Lahore,OLX
https://www.olx.com.pk/item/10-marla-plot-in-shaheen-block-iid-1118098973,Plot,For Sale,10 Marla,,,2 weeks ago,Rs 98 Lacs,"Chinar Bagh - Shaheen Block, Lahore",Lahore,OLX
