Bedroom,Bath,Area_sqft,Log_area_sqft,Area_per_bedroom,Bath_bedroom_ratio,Location_median_ppsf,Type_target_enc,City_target_enc,Source_OLX,Price_pkr,Log_price
3.0,4.0,2076.0,7.638198244,692.0,1.333333333,19283.74656,17.30156670857143,17.63082525563043,1,68000000,18.03501826
3.0,3.0,1476.0,7.297091005,492.0,1.0,22000.0,16.74009781756667,17.38481072169611,0,11500000,16.25785759
2.0,2.0,1361.25,7.216158674,680.625,1.0,17447.19927,17.52449479365033,17.30474131619205,0,13500000,16.41820024
0.0,0.0,1800.0,7.495541944,1800.0,0.0,6555.555556,16.7407250003125,17.63082525563043,1,11800000,16.28361009
4.0,5.0,1089.0,6.993015123,272.25,1.25,43503.21395999999,17.03228004347826,17.63082525563043,0,54000000,17.8044946
5.0,6.0,2722.5,7.909305855,544.5,1.2,11753.90266,17.52449479365033,17.0930370689899,0,32500000,17.29675065
6.0,6.0,9000.0,9.104979856,1500.0,1.0,29444.444445,17.52449479365033,17.38481072169611,1,420000000,19.85576527
0.0,0.0,5445.0,8.602453035,5445.0,0.0,19283.74656,16.89827182589474,17.63082525563043,1,22500000,16.92902587
0.0,0.0,2722.5,7.909305855,2722.5,0.0,15610.65197,16.7407250003125,17.63082525563043,1,42500000,17.56501463
5.0,6.0,5445.0,8.602453035,1089.0,1.2,21120.29385,17.52449479365033,17.63082525563043,0,98000000,18.40047804
5.0,6.0,2722.5,7.909305855,544.5,1.2,11343.38033,18.00816093799353,17.2241481738,0,28000000,17.14771507
3.0,4.0,1361.25,7.216158674,453.75,1.333333333,16843.7623,17.52449479365033,17.30474131619205,0,22000000,16.90655301
3.0,3.0,1152.0,7.049254841,384.0,1.0,34212.96296,16.74009781756667,17.38481072169611,0,40000000,17.50439001
7.0,5.0,5994.0,8.698514248,856.2857143,0.714285714,61111.11111,18.00816093799353,17.38481072169611,0,420000000,19.85576527
3.0,3.0,1368.0,7.221105098,456.0,1.0,22000.0,17.03228004347826,17.38481072169611,0,15000000,16.52356076
5.0,6.0,2722.5,7.909305855,544.5,1.2,17447.19927,17.52449479365033,17.2241481738,0,39500000,17.49181123
0.0,0.0,2178.0,7.686162303,2178.0,0.0,19283.74656,16.7407250003125,17.63082525563043,1,5500000,15.52025865
4.0,6.0,3130.875,8.049067797,782.71875,1.5,15610.65197,17.52449479365033,17.30474131619205,0,38500000,17.4661688
5.0,5.0,2722.5,7.909305855,544.5,1.0,21120.29385,17.52449479365033,17.63082525563043,0,67500000,18.02763816
3.0,3.0,972.0,6.879355804,324.0,1.0,22000.0,18.00816093799353,17.38481072169611,1,13500000,16.41820024
2.0,2.0,1053.0,6.959398512,526.5,1.0,22000.0,16.74009781756667,17.38481072169611,0,19000000,16.75994954
0.0,0.0,2722.5,7.909305855,2722.5,0.0,19283.74656,16.7407250003125,17.63082525563043,1,19000000,16.75994954
4.0,6.0,3762.0,8.23270601,940.5,1.5,22000.0,16.74009781756667,17.38481072169611,0,120000000,18.6030023
0.0,0.0,1089.0,6.993015123,1089.0,0.0,19283.74656,18.23946870666667,17.63082525563043,1,62500000,17.95067711
4.0,5.0,720.0,6.579251212,180.0,1.25,22000.0,18.00816093799353,17.38481072169611,1,2350000,14.66992589
3.0,4.0,1361.25,7.216158674,453.75,1.333333333,14386.287115,17.52449479365033,17.2241481738,0,16500000,16.61887094
0.0,0.0,10890.0,9.295600216,10890.0,0.0,15861.09024,16.89827182589474,17.48107115846154,1,105000000,18.46947091
2.0,1.0,1470.15,7.293119715,735.075,0.5,19283.74656,16.74009781756667,17.63082525563043,0,47500000,17.67624027
5.0,6.0,2722.5,7.909305855,544.5,1.2,14954.74223,17.52449479365033,17.2241481738,0,45000000,17.62217305
5.0,5.0,1361.25,7.216158674,272.25,1.0,17447.19927,17.52449479365033,17.30474131619205,0,20000000,16.81124283
4.0,5.0,2722.5,7.909305855,680.625,1.25,15861.09024,18.00816093799353,17.48107115846154,0,49000000,17.70733086
3.0,4.0,1089.0,6.993015123,363.0,1.333333333,18732.78237,17.52449479365033,17.48107115846154,1,21000000,16.860033
6.0,7.0,5445.0,8.602453035,907.5,1.166666667,24334.251605,18.00816093799353,17.48107115846154,0,220000000,19.2091381
0.0,0.0,5994.0,8.698514248,5994.0,0.0,19283.74656,16.7407250003125,17.63082525563043,1,105000000,18.46947091
6.0,7.0,5445.0,8.602453035,907.5,1.166666667,17630.85399,17.52449479365033,17.48107115846154,0,96000000,18.37985875
0.0,0.0,5445.0,8.602453035,5445.0,0.0,11000.91827,16.89827182589474,17.48107115846154,1,59900000,17.90818706
4.0,5.0,1361.25,7.216158674,340.3125,1.25,14041.756535,17.52449479365033,17.0930370689899,0,17500000,16.67771144
3.0,4.0,1361.25,7.216158674,453.75,1.333333333,17447.19927,17.52449479365033,17.30474131619205,0,17000000,16.6487239
5.0,6.0,5445.0,8.602453035,1089.0,1.2,23875.11478,17.52449479365033,17.48107115846154,0,162500000,18.90618856
0.0,0.0,1080.0,6.98471632,1080.0,0.0,6148.148148,16.7407250003125,17.38481072169611,1,8000000,15.8949521
0.0,0.0,544.5,6.299867942,544.5,0.0,24977.04316,18.23946870666667,17.48107115846154,1,20000000,16.81124283
5.0,7.0,2722.5,7.909305855,544.5,1.4,23875.11478,17.52449479365033,17.30474131619205,0,60000000,17.90985512
5.0,6.0,1361.25,7.216158674,272.25,1.2,16446.280995,17.52449479365033,17.48107115846154,1,22900000,16.94664747
4.0,4.0,1633.5,7.398480231,408.375,1.0,14386.287115,17.52449479365033,17.2241481738,0,22000000,16.90655301
2.0,2.0,1197.9,7.088325303,598.95,1.0,9478.95376,16.74009781756667,17.2241481738,0,6500000,15.68731273
5.0,5.0,1361.25,7.216158674,272.25,1.0,15861.09024,17.52449479365033,17.48107115846154,1,8000000,15.8949521
1.0,2.0,500.0,6.214608098,500.0,2.0,22000.0,16.74009781756667,17.38481072169611,1,9500000,16.06680236
5.0,6.0,4083.75,8.314770963,816.75,1.2,26936.02694,17.52449479365033,17.30474131619205,0,110000000,18.51599092
2.0,2.0,1361.25,7.216158674,680.625,1.0,9550.045914,17.52449479365033,17.2241481738,0,12000000,16.30041721
0.0,0.0,2700.0,7.901007052,2700.0,0.0,59444.444445,16.7407250003125,17.38481072169611,1,67500000,18.02763816
0.0,0.0,2722.5,7.909305855,2722.5,0.0,4848.484848,16.7407250003125,17.48107115846154,1,14000000,16.45456789
1.0,1.0,540.0,6.29156914,540.0,1.0,5698.005698000001,16.74009781756667,17.38481072169611,0,2500000,14.73180129
2.0,2.0,1404.0,7.247080585,702.0,1.0,5698.005698000001,16.74009781756667,17.38481072169611,0,9500000,16.06680236
0.0,0.0,1361.25,7.216158674,1361.25,0.0,8301.1937555,16.89827182589474,17.48107115846154,1,11400000,16.24912391
3.0,3.0,1400.0,7.244227516,466.6666667,1.0,22000.0,16.74009781756667,17.38481072169611,1,14000000,16.45456789
6.0,6.0,1905.75,7.552630911,317.625,1.0,17447.19927,17.30156670857143,17.30474131619205,0,35500000,17.38504325
0.0,0.0,2722.5,7.909305855,2722.5,0.0,15861.09024,16.89827182589474,17.48107115846154,1,12000000,16.30041721
3.0,3.0,630.0,6.445719819,210.0,1.0,22000.0,17.52449479365033,17.38481072169611,0,15000000,16.52356076
6.0,6.0,5445.0,8.602453035,907.5,1.0,21120.29385,17.52449479365033,17.63082525563043,0,100000000,18.42068074
4.0,5.0,1125.0,7.025538315,281.25,1.25,15861.09024,18.00816093799353,17.48107115846154,1,24000000,16.99356439
0.0,1.0,275.0,5.616771098,275.0,0.0,17454.54545,16.74009781756667,17.48107115846154,1,4800000,15.38412648
2.0,2.0,1442.925,7.274427582,721.4625,1.0,11937.55739,17.30156670857143,17.63082525563043,0,14500000,16.48965921
5.0,5.0,3539.25,8.171670119,707.85,1.0,24050.02405,17.52449479365033,17.30474131619205,0,65000000,17.98989783
4.0,4.0,1361.25,7.216158674,340.3125,1.0,27915.51882,17.52449479365033,17.63082525563043,0,38000000,17.45309672
5.0,5.0,1361.25,7.216158674,272.25,1.0,17447.19927,17.52449479365033,17.30474131619205,0,18000000,16.70588232
5.0,6.0,1633.5,7.398480231,326.7,1.2,15426.99725,17.52449479365033,17.30474131619205,0,30000000,17.21670794
3.0,4.0,1361.25,7.216158674,453.75,1.333333333,19834.71074,17.52449479365033,17.48107115846154,0,26500000,17.09265529
2.0,1.0,1050.0,6.956545443,525.0,0.5,22000.0,16.74009781756667,17.38481072169611,1,11000000,16.21340583
6.0,7.0,5445.0,8.602453035,907.5,1.166666667,21120.29385,17.52449479365033,17.63082525563043,0,110000000,18.51599092
